,Name,Critic Rating,Critic Numbers,User Rating,User Numbers,Runtime (minutes),Genre,Studio,Box Office
82,The 5th Wave,0.16,135,0.38,31915,112,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Sony Pictures,"$34,916,787"
83,Inferno,0.22,236,0.36,28554,121,"Action & Adventure, Drama, Mystery & Suspense",Sony Pictures,"$34,343,574"
84,Mother's Day,0.06,154,0.44,13967,119,"Comedy, Drama",Open Road Films,"$32,492,859"
85,Patriots Day,0.9,10,0.86,92,120,Documentary,HBO Documentary Films,"$31,886,361"
86,Gods of Egypt,0.15,179,0.37,31608,127,"Action & Adventure, Science Fiction & Fantasy",Lionsgate,"$31,153,464"
87,Collateral Beauty,0.14,175,0.64,22067,94,Drama,New Line Cinema,"$31,016,021"
88,"Hail, Caesar!",0.86,333,0.44,40517,106,Comedy,Universal Pictures,"$30,498,085"
89,When the Bough Breaks,0.1,21,0.45,6569,93,"Drama, Horror",Sony Pictures,"$29,747,603"
90,Zoolander 2,0.22,219,0.2,41648,102,Comedy,Paramount Pictures,"$28,848,693"
91,Moonlight ,0.98,344,0.79,44100,110,Drama,A24 Films,"$27,854,932"
92,The Finest Hours,0.64,183,0.66,22994,117,"Action & Adventure, Drama, Mystery & Suspense",Walt Disney Pictures,"$27,569,558"
93,Florence Foster Jenkins,0.87,211,0.68,16747,110,"Comedy, Drama, Musical & Performing Arts",BBC Films,"$27,383,770"
94,Hell or High Water,0.97,258,0.88,39221,102,"Drama, Mystery & Suspense",Film 44,"$27,007,844"
95,The Forest,0.1,133,0.22,14527,94,"Drama, Horror",Gramercy Pictures,"$26,594,261"
96,Ben-Hur ,0.24,180,0.53,18921,124,"Classics, Drama",Paramount Pictures,"$26,410,477"
97,The Witch,0.91,307,0.57,40622,92,Horror,A24 Films,"$25,138,705"
98,Bridget Jones's Baby,-,-,-,-,-,-,-,"$24,252,420"
99,Kevin Hart: What Now?,0.77,57,0.58,10332,96,Comedy,Universal Pictures,"$23,591,043"
100,Whiskey Tango Foxtrot,0.67,194,0.55,22363,111,"Comedy, Drama",Paramount Pictures,"$23,083,334"
101,Snowden,0.6,248,0.7,28451,134,Drama,Open Road Films,"$21,587,519"
102,Mechanic: Resurrection,0.33,55,0.4,25538,110,"Action & Adventure, Mystery & Suspense",Summit Entertainment,"$21,218,403"
103,Free State of Jones,0.46,184,0.63,20692,139,"Action & Adventure, Drama",STX Entertainment,"$20,810,036"
104,Blair Witch,0.36,203,0.31,12701,89,Horror,Vertigo Entertainment,"$20,777,061"
105,God's Not Dead 2,-,-,-,-,-,-,-,"$20,774,575"
106,Keanu,0.78,165,0.55,24144,98,"Action & Adventure, Comedy",Warner Bros. Pictures,"$20,591,853"
107,Middle School: The Worst Years of My Life,0.59,39,0.58,5305,92,Comedy,James Patterson Entertainment,"$20,007,149"
108,Nine Lives ,0.15,68,0.41,10081,87,Comedy,EuropaCorp,"$19,700,032"
109,Race ,0.61,148,0.77,14924,134,Drama,Focus Features,"$19,206,207"
