,Name,Critic Rating,Critic Numbers,User Rating,User Numbers,Runtime (minutes),Genre,Studio,Box Office
282,Unsullied,-,-,-,-,-,-,-,"$510,957"
283,Befikre,0.38,8,0.39,198,150,"Comedy, Drama, Romance",-,"$498,000"
284,Marguerite,0.95,104,0.74,1752,127,Drama,Fidélité Films,"$497,323"
285,The Boy and the Beast,0.9,67,0.88,2898,119,"Action & Adventure, Animation, Art House & International",FUNimation Entertainment,"$490,643"
286,Wiener-Dog,0.75,110,0.42,3408,90,Comedy,Annapurna Pictures,"$477,453"
287,Detective Chinatown ,-,-,0.76,362,136,Mystery & Suspense,mm2 Entertainment,"$474,252"
288,Our Little Sister,0.94,109,0.82,3039,128,Drama,Sony Pictures Classics,"$467,555"
289,Luck-Key,-,-,0.75,147,112,"Action & Adventure, Art House & International, Comedy",Yong Film,"$466,505"
290,Only Yesterday ,-,-,-,-,-,-,-,"$453,243"
291,Gimme Danger,0.94,104,0.68,2165,108,Documentary,Low Mind Films,"$440,627"
292,Baaghi,0.33,9,0.47,304,133,,Benetone Films,"$438,207"
293,I Am Not Madame Bovary,0.84,51,0.7,573,128,"Art House & International, Comedy, Drama",-,"$436,798"
294,Land of Mine,-,-,-,-,-,-,-,"$435,266"
295,Mad Max: Fury Road ,-,-,-,-,-,-,-,"$421,986"
296,Voiceless,-,-,0.5,159,107,Drama,American Hero Films,"$419,952"
297,Things To Come,1.0,136,0.7,6618,100,"Art House & International, Drama",IFC Films,"$388,140"
298,The Wasted Times,0.2,5,0.76,372,123,"Art House & International, Drama, Mystery & Suspense, Romance",China Lion Film Distribution,"$386,540"
299,The Lobster ,0.87,237,0.64,33591,118,"Comedy, Cult Movies, Drama, Science Fiction & Fantasy",A24 Films,"$376,871"
300,Mr. Donkey,-,-,0.89,217,112,Comedy,China Lion Film Distribution,"$356,255"
301,Eat That Question: Frank Zappa in His Own Words,0.91,70,0.73,1584,90,"Art House & International, Documentary",Les Films du Poisson,"$355,074"
302,Happy Bhaag Jayegi,-,-,-,-,-,-,-,"$351,840"
303,Kahaani 2,1.0,5,0.59,227,-,"Drama, Mystery & Suspense",-,"$350,703"
304,L.O.R.D: Legend of Ravaging Dynasties,-,-,0.3,110,117,"Action & Adventure, Drama, Science Fiction & Fantasy",Lionsgate Home Entertainment,"$350,456"
305,High-Rise,0.59,203,0.36,11942,112,"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",Embargo Films,"$346,472"
306,Te3n,0.75,12,0.67,384,137,Drama,Cinemaa Pictures,"$331,507"
307,Kaashmora,-,-,0.22,27,-,"Comedy, Horror",Dream Warrior Pictures,"$327,959"
308,The Bounce Back,0.67,6,0.76,1579,104,"Comedy, Romance",Ankle Sock & Baseball Pants,"$321,910"
309,AmeriGeddon,-,-,0.55,746,92,Action & Adventure,-,"$316,554"
310,Francofonia,0.86,70,0.46,1066,88,Documentary,Idéale Audience,"$307,040"
311,Mia Madre,0.87,84,0.6,2680,107,"Art House & International, Comedy, Drama",Music Box Films,"$303,002"
312,Christine ,0.82,62,0.52,401,112,Documentary,4th Row Films,"$298,525"
313,April and the Extraordinary World,0.96,53,0.76,3357,105,"Action & Adventure, Animation, Comedy",GKIDS,"$295,488"
314,Ixcanul,1.0,35,0.75,1207,91,"Art House & International, Drama",La Casa de Production,"$295,157"
315,The People vs. Fritz Bauer,0.86,36,0.76,669,105,"Art House & International, Drama",Westdeutscher Rundfunk,"$288,483"
316,Aquarius,0.97,104,0.77,1730,142,"Art House & International, Drama",Vitagraph Films,"$285,930"
317,Kingsglaive: Final Fantasy: XV,0.12,17,0.68,3013,110,"Action & Adventure, Animation, Art House & International, Drama",Square Enix Company,"$269,980"
318,My Golden Days,0.89,72,0.49,1359,120,Drama,Magnolia Pictures,"$269,144"
319,The Family Fang,0.81,81,0.47,4428,105,Drama,Red Crown Productions,"$262,921"
320,Minimalism: A Documentary About the Important Things,-,-,0.51,514,79,Documentary,Catalyst Films,"$261,865"
321,Dheepan,0.87,120,0.82,4253,100,Drama,Sundance Selects,"$261,819"
322,Yo-kai Watch: The Movie,0.8,5,0.73,72,95,"Action & Adventure, Anime & Manga",Eleven Arts,"$257,343"
323,"Life, Animated",0.94,102,0.81,3757,89,Documentary,A&E IndieFilms,"$255,388"
324,Oasis: Supersonic,0.83,52,0.87,2217,122,Documentary,Mint Pictures,"$242,867"
325,The Invitation,0.87,95,0.7,13073,100,Mystery & Suspense,Drafthouse Films,"$231,737"
326,Jimmy Vestvood: Amerikan Hero,0.83,6,0.8,538,84,"Action & Adventure, Comedy",Gravitas Ventures,"$230,069"
327,The Love Witch,0.95,108,0.6,2202,120,"Drama, Horror, Mystery & Suspense",Oscilloscope Laboratories,"$228,894"
328,Tampopo ,-,-,-,-,-,-,-,"$224,097"
329,Miss Hokusai,0.93,54,0.7,927,93,"Animation, Art House & International, Drama, Special Interest",GKIDS,"$222,670"
330,Spirit of the Game,-,-,0.77,92,95,Drama,The Steve Jaggi Company,"$222,565"
331,Naam Hai Akira,0.38,8,0.37,168,139,Drama,A. R. Murugadoss Productions,"$219,401"
332,Ho Mann Jahaan,-,-,0.7,35,170,"Art House & International, Drama, Musical & Performing Arts",-,"$208,611"
333,Seed: The Untold Story,0.92,13,0.82,149,94,Documentary,Collective Eye,"$207,825"
334,Kaptaan,-,-,-,-,-,-,-,"$203,790"
335,El Clan,0.88,74,0.77,1616,108,"Art House & International, Drama, Special Interest",-,"$201,227"
336,White Girl,0.7,43,0.44,1771,88,Drama,Killer Films,"$200,242"
337,The Fallen Idol ,-,-,-,-,-,-,-,"$199,619"
338,Complete Unknown,0.5,70,0.24,953,90,Drama,Parts and Labor,"$191,761"
339,Digimon Adventure tri.,-,-,0.89,78,88,"Action & Adventure, Animation",Toei Animation,"$190,581"
340,The Masked Saint,0.14,7,0.61,573,111,Action & Adventure,Freestyle Releasing,"$182,695"
341,League of Gods,-,-,0.34,253,-,"Action & Adventure, Drama, Science Fiction & Fantasy",Sony Pictures,"$181,633"
342,Viva,0.82,51,0.87,758,100,"Art House & International, Drama",Windmill Lane Pictures,"$178,008"
343,The Wave,0.87,15,0.67,1840,72,"Animation, Art House & International, Drama, Television, Romance",GKIDS,"$177,404"
344,Asura: The City of Madness,0.8,10,0.69,204,136,"Action & Adventure, Art House & International, Drama",CJ Entertainment,"$175,702"
345,Hieronymus Bosch: Touched by the Devil,0.58,19,0.43,153,89,Documentary,Pieter Van Huystee Film and Television,"$172,533"
346,Apparition Hill,-,-,0.97,226,115,Documentary,Stella Mar Films,"$170,457"
347,The Fits,0.98,99,0.55,2251,72,Drama,La Biennale di Venezia,"$166,425"
348,De Palma,0.95,104,0.85,1438,107,Documentary,Empire Ward,"$165,237"
349,Louder than Bombs,0.74,123,0.51,3075,105,Drama,Motlys AS,"$163,807"
350,Howards End ,-,-,-,-,-,-,-,"$160,282"
351,Beauty and the Beast ,0.32,22,0.53,3708,112,"Mystery & Suspense, Science Fiction & Fantasy, Romance",Shout! Factory Films,"$160,215"
352,Sunset Song,0.8,111,0.5,2583,135,"Art House & International, Drama, Romance",Iris Productions,"$159,714"
353,The Witness,0.91,58,0.77,2010,90,Documentary,Five More Minutes Productions,"$159,305"
354,Eva Hesse,0.79,19,0.64,180,108,Documentary,-,"$157,481"
355,Born to be Blue,0.89,114,0.74,6832,98,"Art House & International, Drama, Musical & Performing Arts",New Real Films,"$151,926"
356,Generation Found,-,-,-,6,85,Documentary,4th Dimension Productions,"$151,751"
357,Kicks,0.86,37,0.73,1959,80,"Action & Adventure, Drama",Animal Kingdom,"$150,191"
358,Seasons,0.96,26,0.71,1103,95,Documentary,Music Box Films,"$150,092"
359,Rams ,0.95,101,0.84,1995,90,Drama,Cohen Media Group,"$149,250"
360,Michael Moore In TrumpLand,0.53,34,0.46,832,73,Documentary,Dog Eat Dog Films,"$149,090"
361,Touched with Fire,0.69,48,0.9,3946,106,Drama,-,"$146,487"
362,Krisha,0.96,74,0.78,2159,83,Drama,A24 Films,"$144,822"
363,Psycho-Pass: The Movie,-,-,0.73,234,113,"Action & Adventure, Animation, Art House & International, Science Fiction & Fantasy",Dentsu,"$138,366"
364,The Kind Words,0.78,9,0.5,133,118,"Art House & International, Comedy, Drama",Amérique Film,"$135,382"
365,Tumbledown,0.7,37,0.61,1172,105,Comedy,Echo Films,"$135,026"
366,ISM,-,-,-,-,-,-,-,"$134,165"
367,Dawson City: Frozen Time,-,-,-,-,-,-,-,"$132,369"
368,Requiem for the American Dream,0.92,25,0.84,3204,75,Documentary,PF Pictures,"$130,152"
369,The Brand New Testament,0.82,74,0.68,2806,112,Comedy,Music Box Films,"$127,910"
370,Chimes at Midnight ,-,-,-,-,-,-,-,"$126,724"
371,Spirits' Homecoming,-,-,0.43,11,127,Drama,-,"$125,616"
372,Sweet Bean,0.83,53,0.85,405,113,Drama,-,"$124,800"
373,A War,0.91,380,0.89,177272,146,"Action & Adventure, Science Fiction & Fantasy",Walt Disney Pictures,"$122,902"
374,Fire at Sea,0.94,88,0.66,2291,108,"Art House & International, Documentary",21UNO FILM,"$120,933"
375,Miss Sharon Jones,0.9,51,0.87,362,93,Documentary,Cabin Creek Films,"$120,880"
376,Hockney,0.84,44,0.67,326,112,"Documentary, Special Interest",Film Movement,"$120,745"
377,Three,-,-,-,-,-,-,-,"$119,550"
378,Remember the Goal,-,-,0.65,140,-,Drama,-,"$119,100"
379,Tale of Tales,0.82,100,0.56,6123,125,"Horror, Science Fiction & Fantasy",Sundance Selects,"$118,925"
380,Victor,-,-,-,-,-,-,-,"$117,755"
381,Caged No More,-,-,0.67,160,90,Drama,Check the Gate Productions,"$114,959"
382,The Measure of a Man,0.92,60,0.6,851,93,"Art House & International, Drama",Nord-Ouest Films,"$112,391"
383,Elevator to the Gallows ,-,-,-,-,-,-,-,"$111,267"
384,Zero Days,0.91,70,0.74,3205,116,Documentary,Jigsaw Productions,"$109,649"
385,Aferim!,0.98,40,0.74,1000,108,"Action & Adventure, Art House & International, Comedy, Drama",Big World Pictures,"$108,110"
386,Best Worst Thing That Ever Could Have Happened,0.94,18,0.74,428,95,Documentary,Atlas Media Corporation,"$106,986"
387,Dekalog ,-,-,-,-,-,-,-,"$106,494"
388,Until Forever ,-,-,0.85,59,100,Drama,Linn Productions,"$105,358"
389,Under the Sun ,0.93,29,0.69,597,106,Documentary,Vertov Studio,"$105,036"
390,Dictator,-,-,-,-,-,-,-,"$104,734"
391,Demon,0.57,240,0.51,8850,110,Horror,Space Rocket Nation,"$104,038"
392,Puerto Ricans in Paris,0.36,22,0.36,397,100,Comedy,Focus World,"$102,890"
393,Cameraperson,0.99,97,0.69,940,102,Documentary,Fork Films,"$102,033"
394,Tower,0.99,89,0.89,3236,82,"Animation, Documentary",Go-Valley,"$101,987"
395,Our Last Tango,0.9,29,0.56,200,85,"Art House & International, Documentary",German Kral Filmproduktion,"$100,086"
396,Rock On 2,0.29,7,0.25,13,143,"Art House & International, Drama, Musical & Performing Arts",Excel Entertainment,"$98,868"
397,Seondal: The Man Who Sells the River,-,-,0.67,96,121,Comedy,-,"$97,477"
398,So Young 2: Never Gone,-,-,0.61,189,99,Comedy,-,"$96,421"
399,The Fight Within,0.4,5,0.79,84,90,"Action & Adventure, Romance, Sports & Fitness",New Life Cinema,"$94,326"
400,"New York, New York ",-,-,-,-,-,-,-,"$92,377"
401,Other People,0.85,54,0.8,2471,97,Drama,Gettin' Rad Productions,"$91,441"
402,Morris from America,0.88,81,0.6,2244,89,Drama,A24 and DIRECTV,"$91,151"
403,Fireworks Wednesday,1.0,43,0.83,1069,104,"Art House & International, Drama",Grasshopper Film,"$90,519"
404,No One's Life Is Easy: So I Married an Anti-Fan,-,-,0.58,20,120,"Comedy, Romance",China Lion Entertainment,"$89,282"
405,"My Love, Don't Cross that River",0.77,26,0.63,475,86,"Documentary, Kids & Family, Romance",Argus Film Produktie,"$88,018"
406,Sand Storm,0.92,39,0.86,240,87,"Art House & International, Drama",Beta Cinema,"$86,800"
407,Author: The JT LeRoy Story,0.78,88,0.61,470,110,Documentary,RatPac Documentary Films,"$85,999"
408,Los Sures,1.0,7,-,13,56,Documentary,-,"$83,992"
409,Ocean Waves,0.87,15,0.67,1840,72,"Animation, Art House & International, Drama, Television, Romance",GKIDS,"$83,962"
410,Mountains May Depart,0.92,75,0.66,665,131,"Art House & International, Drama",Arte France Cinéma,"$82,913"
411,Cock and Bull,-,-,-,-,-,-,-,"$82,778"
412,A Street Cat Named Bob,0.77,61,0.76,4819,103,"Comedy, Drama",Cleopatra Entertainment,"$82,703"
413,Vita Activa: The Spirit of Hannah Arendt,0.94,16,0.88,87,125,Documentary,Kino Lorber,"$82,143"
414,King Cobra,0.44,32,0.33,1549,91,Drama,Yale Productions,"$81,757"
415,Les cowboys,0.84,43,0.7,296,104,"Art House & International, Drama",Les Productions du Trésor,"$80,843"
416,For the Love of Spock,1.0,29,0.81,1634,111,Documentary,Gravitas Ventures,"$80,141"
417,My Best Friend's Wedding ,-,-,0.27,65,91,Comedy,China Film Group,"$78,578"
418,Sky on Fire,0.4,10,0.17,112,100,"Action & Adventure, Mystery & Suspense",Skyland Films,"$78,366"
419,Colliding Dreams,0.94,17,0.61,215,134,Documentary,National Endowment for the Humanities,"$78,288"
420,Saala Khadoos,0.83,6,0.75,162,-,Drama,UTV Communications,"$76,931"
421,Don't Blink - Robert Frank,-,-,-,-,-,-,-,"$76,134"
422,Sword Master,0.67,12,0.56,381,108,"Action & Adventure, Drama",Bona Film Group Limited,"$75,526"
423,Do Not Resist,0.9,40,0.6,250,73,Documentary,Vanish Films,"$72,791"
424,Dancer,0.88,32,0.88,385,85,Documentary,Sundance Selects,"$71,917"
425,Raiders!: The Story of the Greatest Fan Film Ever Made,0.9,50,0.77,955,104,Documentary,Drafthouse Films,"$71,916"
426,Sweet 20,-,-,0.83,35,127,"Comedy, Romance",CJ Entertainment America,"$71,775"
427,The Congressman,0.33,6,0.41,62,98,Drama,-,"$71,451"
428,Norman Lear: Just Another Version of You,0.86,42,0.65,483,91,Documentary,Loki Films,"$70,950"
429,The Dark Horse,0.97,63,0.77,6017,124,"Art House & International, Drama",Southern Light Films,"$67,533"
430,Phantom Detective,0.83,6,0.5,30,123,"Action & Adventure, Drama",CJ Entertainment,"$67,054"
431,Max Rose,0.39,44,0.56,297,86,"Comedy, Drama",Paladin,"$66,680"
432,King Georges,1.0,9,0.53,239,78,Documentary,Sundance Selects,"$66,175"
433,Ran ,-,-,-,-,-,-,-,"$66,097"
434,Microbe & Gasoline,0.91,55,0.72,823,103,Comedy,Screen Media Films,"$63,802"
435,The Tenth Man,0.71,14,0.36,131,82,"Art House & International, Comedy, Drama",BDCine,"$63,564"
436,Trapped ,1.0,24,0.76,201,83,Documentary,Big Mouth Productions,"$63,241"
437,Creative Control,0.61,54,0.39,572,97,"Drama, Science Fiction & Fantasy",Magnolia Pictures,"$63,014"
438,Mifune: The Last Samurai,0.82,34,0.75,752,80,"Art House & International, Documentary",Creative Associates Limited,"$62,279"
439,Too Late,0.72,32,0.62,542,107,Drama,-,"$60,438"
440,Girl Asleep,0.82,38,0.59,766,77,"Art House & International, Kids & Family",Soft Tread Enterprises,"$60,289"
441,Presenting Princess Shaw,0.91,45,0.66,405,80,"Art House & International, Documentary, Musical & Performing Arts",-,"$60,197"
442,Time Renegades,-,-,0.35,47,107,"Art House & International, Mystery & Suspense, Science Fiction & Fantasy, Romance",CJ Entertainment,"$59,425"
443,Vanishing Time: A Boy Who Returned,-,-,0.76,56,129,"Drama, Science Fiction & Fantasy",Showbox,"$57,759"
444,Command and Control,0.95,39,0.72,256,92,Documentary,Robert Kenner Films,"$57,635"
445,Sold,0.5,215,0.82,33285,144,"Action & Adventure, Drama",Paramount Pictures,"$57,527"
446,Pele: Birth of a Legend,0.3,30,0.68,1494,107,"Drama, Sports & Fitness",IFC Films,"$57,046"
447,The Battle of Algiers ,-,-,-,-,-,-,-,"$56,853"
448,DONGJU: The Portrait of a Poet,-,-,-,-,-,-,-,"$56,550"
449,Wedding Doll,0.8,25,0.82,80,82,"Art House & International, Drama",Gilady Nitzan Films,"$56,196"
450,L'attesa,-,-,-,-,-,-,-,"$55,804"
451,The Lovers and the Despot,0.78,72,0.52,329,94,"Documentary, Mystery & Suspense",-,"$55,511"
452,Voyage of Time: The IMAX Experience,0.89,28,0.76,1830,45,Documentary,Sophisticated Films,"$55,409"
453,Regression,0.15,40,0.21,7807,106,"Drama, Mystery & Suspense",The Weinstein Company,"$55,039"
454,Clown,0.45,22,0.37,4766,99,Horror,"Dimension Films, Anchor Bay Entertainment","$55,007"
455,Diary of a Chambermaid,0.68,34,0.24,367,95,"Art House & International, Drama",Les Films du Lendemain,"$54,235"
456,My King ,0.72,72,0.77,513,125,"Drama, Romance",Les Productions du Trésor,"$54,114"
457,In a Valley of Violence,0.76,66,0.51,4001,104,"Action & Adventure, Western",Blumhouse Productions,"$53,647"
458,High Strung ,0.75,8,0.65,845,97,"Drama, Musical & Performing Arts, Romance",Riviera Films,"$53,447"
459,The Club,0.87,86,0.82,1384,97,"Art House & International, Drama",Music Box Films,"$52,761"
460,Being 17,0.94,36,0.73,587,114,"Comedy, Drama",Fidélité Films,"$52,713"
461,The Last Man on the Moon,0.93,45,0.78,3804,99,Documentary,Gravitas Ventures,"$52,482"
462,My Annoying Brother,-,-,0.79,82,110,"Comedy, Drama",CJ Entertainment,"$51,996"
463,Cemetery of Splendor,0.96,78,0.61,1073,122,Art House & International,Kick the Machine,"$51,950"
464,Disorder,0.73,75,0.52,2270,101,"Art House & International, Drama, Mystery & Suspense",Scope Pictures,"$51,879"
465,The Unknowns,0.45,20,0.15,1523,90,"Drama, Mystery & Suspense, Science Fiction & Fantasy",3311 Productions,"$51,035"
466,Like for Likes,-,-,0.43,49,120,"Art House & International, Romance",CJ Entertainment America,"$50,839"
467,In the Shadow of Women,0.87,38,0.55,456,73,"Art House & International, Drama, Romance",SBS Productions,"$50,291"
468,The Take ,-,-,-,-,-,-,-,"$50,269"
469,In Order of Disappearance,0.85,62,0.73,2425,115,"Action & Adventure, Art House & International, Comedy",Magnet Releasing,"$50,251"
470,The Treasure,0.94,36,0.42,518,89,Comedy,-,"$50,203"
471,Fatima,0.84,25,0.55,142,79,"Art House & International, Drama",-,"$50,105"
472,Ma ma,-,-,-,-,-,-,-,"$47,258"
473,Tanna,0.91,35,0.76,746,104,"Art House & International, Drama, Romance",Screen Australia,"$46,654"
474,The Greasy Strangler,0.65,51,0.52,1112,93,"Comedy, Horror",Rook Films,"$45,878"
475,3 Weeks in Yerevan,-,-,-,88,-,Comedy,Wet Paint Production,"$45,536"
476,We Are X,0.79,24,0.87,324,95,Documentary,Passion Pictures,"$45,270"
477,A Melody to Remember,-,-,-,30,124,"Art House & International, Drama",-,"$44,263"
478,Nuts!,0.96,48,0.78,260,79,Documentary,Cartuna,"$44,230"
479,Danny Says,0.72,29,0.51,171,104,Documentary,Magnolia Pictures,"$44,213"
480,Phantom of the Theatre,0.45,11,0.29,105,103,"Art House & International, Mystery & Suspense, Science Fiction & Fantasy, Romance",Bona Entertainment Company Limited,"$43,955"
481,The Land,0.91,410,0.81,69700,128,"Comedy, Drama, Musical & Performing Arts",Liongate Films,"$43,756"
482,Mastizaade,-,-,-,-,-,-,-,"$43,403"
483,Closet Monster,0.78,27,0.72,2261,90,Drama,Rhombus Media,"$42,166"
484,Daughters of the Dust ,-,-,-,-,-,-,-,"$40,986"
485,Wild Oats,0.0,5,0.33,250,91,Comedy,The Weinstein Company,"$40,598"
486,Is That a Gun in Your Pocket?,0.0,11,0.93,409,97,Comedy,The Vault,"$39,928"
487,The Homeless Billionaire,-,-,-,149,88,Comedy,-,"$39,493"
488,La Notte ,-,-,-,0,90,Drama,-,"$39,236"
489,Restored Me,-,-,-,3,135,-,NYC Films,"$38,745"
490,Catching the Sun,0.71,7,0.85,29,75,Documentary,7th Empire Media,"$38,613"
491,Spa Night,0.95,21,0.6,254,93,Drama,Nonetheless Productions,"$38,578"
492,Germans & Jews,1.0,9,-,85,76,Documentary,-,"$38,100"
493,Band of Outsiders ,-,-,-,-,-,-,-,"$38,004"
494,Come What May,0.42,19,0.53,66,114,Drama,Cohen Media Group,"$37,766"
495,Trust Fund,-,-,0.71,89,107,Drama,Transatlantic Films,"$36,885"
496,How to Let Go of the World and Love All Things Climate Can't Change,-,-,-,-,-,-,-,"$36,386"
497,"Kill Me, Deadly",-,-,1.0,50,100,Comedy,-,"$36,027"
498,Until Forever,-,-,0.85,59,100,Drama,Linn Productions,"$35,839"
499,Summertime ,0.91,56,0.72,494,105,"Art House & International, Drama, Romance",Pyramide Productions,"$35,322"
500,Songs My Brothers Taught Me,0.91,23,0.63,425,98,Drama,Highwayman Films,"$34,793"
501,Mr. Right,0.44,52,0.54,5934,90,"Action & Adventure, Comedy, Romance",Circle of Confusion,"$34,694"
502,Phantom Boy,0.88,49,0.73,469,84,"Animation, Art House & International, Kids & Family, Science Fiction & Fantasy",Folimage,"$34,362"
503,Sweet Sixteen ,-,-,-,36,93,"Drama, Romance",China Lion Film Distribution,"$34,327"
504,Eisenstein in Guanajuato,0.6,53,0.5,272,105,"Comedy, Romance",Submarine,"$34,282"
505,Off the Rails,1.0,23,0.83,144,86,Documentary,Gemini Pictures,"$34,249"
506,Last Cab to Darwin,0.91,34,0.8,1265,123,Drama,Last Cab Holdings,"$34,193"
507,The Map Against the World,-,-,-,12,129,"Art House & International, Drama",-,"$34,034"
508,Equals,0.35,82,0.41,2957,101,"Drama, Science Fiction & Fantasy",A24 and DIRECTV,"$33,258"
509,Multiple Maniacs ,-,-,-,-,-,-,-,"$33,036"
510,The Intervention,0.8,46,0.49,2209,90,"Comedy, Drama",Burn Later Productions,"$32,919"
511,Monster Hunt,0.63,27,0.48,638,115,"Action & Adventure, Comedy, Science Fiction & Fantasy",Edko Films,"$32,766"
512,No Home Movie,0.91,32,0.73,162,115,"Art House & International, Documentary",Icarus Films,"$32,757"
513,Rurouni Kenshin: Origins,-,-,-,-,-,-,-,"$32,445"
514,Anesthesia,0.26,43,0.49,707,90,Drama,IFC Films,"$32,163"
515,"Rio, I Love You",0.08,24,0.12,191,110,"Comedy, Drama, Romance",Conspiração Filmes,"$31,982"
516,Under the Shadow,0.99,82,0.74,4622,84,"Art House & International, Horror, Mystery & Suspense",Wigwam Films,"$31,900"
517,Paths of the Soul,0.93,14,0.95,106,117,Drama,LETV Pictures Co,"$31,747"
518,As I Open My Eyes,1.0,17,0.52,94,102,"Art House & International, Drama",Kino Lorber,"$30,989"
519,The Son of Joseph,-,-,-,-,-,-,-,"$30,588"
520,Being Charlie,0.23,43,0.38,474,97,Drama,Castle Rock Entertainment,"$30,400"
521,Men & Chicken,-,-,-,-,-,-,-,"$30,207"
522,From Afar,0.79,48,0.54,312,93,"Art House & International, Drama",Malandro Films,"$30,169"
523,For a Few Bullets,-,-,0.38,11,115,"Action & Adventure, Comedy, Drama",China Lion Film Distribution,"$30,142"
524,Therapy for a Vampire,0.63,30,0.5,127,87,"Comedy, Horror",Novotny & Novotny Filmproduktion,"$30,115"
525,The Seventh Fire,0.93,27,0.53,365,88,Documentary,Sundial Pictures,"$30,112"
526,The Best Democracy Money Can Buy: A Tale of Billionaires & Ballot Bandits,-,-,-,-,-,-,-,"$29,500"
527,The Dog Wedding,-,-,1.0,31,90,"Comedy, Romance",25th Frame,"$29,495"
528,Troublemakers: The Story of Land Art,0.94,16,0.7,100,72,Documentary,Summitridge Pictures,"$29,462"
529,The Last Princess,-,-,0.59,43,-,Art House & International,-,"$29,259"
530,Time to Choose,0.86,21,0.79,494,97,Documentary,Representational Pictures,"$29,233"
531,Valley of Love,0.73,51,0.55,191,91,"Art House & International, Drama",LGM Cinéma,"$28,648"
532,The Seasons in Quincy: Four Portraits of John Berger,0.68,22,0.49,90,90,Documentary,Derek Jarman Lab,"$28,456"
533,"Rabin, the Last Day",0.68,19,0.43,104,153,Drama,Agav Films,"$28,411"
534,Take Me to the River ,0.74,34,0.42,390,84,Drama,-,"$28,041"
535,Kaili Blues,0.96,26,0.85,155,113,"Art House & International, Drama, Mystery & Suspense",-,"$27,477"
536,Unlocking the Cage,0.82,38,0.73,187,91,"Documentary, Drama",Pennebaker Hegedus Films,"$27,284"
537,The Eyes of My Mother,0.77,91,0.56,3206,77,"Drama, Horror",Magnet Releasing,"$27,099"
538,Blackway,0.2,5,0.27,854,90,Mystery & Suspense,Enderby Entertainment,"$27,079"
539,Neon Bull,0.89,44,0.67,448,101,"Art House & International, Drama",-,"$26,734"
540,Papa ,0.12,42,0.53,1252,109,Drama,Yari Film Group,"$26,677"
541,Front Cover,0.82,11,0.49,250,87,Comedy,NewVoice Production,"$26,409"
542,Standing Tall ,0.81,36,0.77,235,120,"Art House & International, Drama",Wild Bunch,"$26,144"
543,Chevalier,0.84,73,0.52,551,99,"Art House & International, Comedy, Drama",Haos Film,"$25,696"
544,Gurukulam,0.43,14,-,27,108,"Documentary, Drama",Matson Films,"$25,651"
545,Kate Plays Christine,0.82,62,0.52,401,112,Documentary,4th Row Films,"$25,564"
546,Banjo,-,-,-,-,-,-,-,"$25,531"
547,The New Year's Eve of Old Lee,-,-,-,16,100,Drama,-,"$25,358"
548,Disturbing the Peace,1.0,13,0.69,182,82,Documentary,Reconsider,"$25,287"
549,Cosmos,0.8,30,0.45,164,103,Drama,Alfama Films Production,"$25,269"
550,A Monster with a Thousand Heads,0.92,39,0.68,158,74,"Art House & International, Drama, Mystery & Suspense",Buenaventura Films,"$24,852"
551,Evolution,0.8,56,0.45,2462,81,"Art House & International, Drama",Les Films du Worso,"$24,770"
552,Sudden Fear ,-,-,-,-,-,-,-,"$24,476"
553,"Right Now, Wrong Then",0.93,41,0.63,302,121,Drama,-,"$24,470"
554,Lolo,0.56,34,0.31,212,100,"Art House & International, Comedy",France 2 Cinéma,"$24,134"
555,The Fiance,-,-,-,14,80,"Comedy, Horror",Firebreathing Films,"$23,986"
556,Southbound,0.8,49,0.51,3590,89,"Horror, Mystery & Suspense, Science Fiction & Fantasy",-,"$23,665"
557,Gridiron Heroes,-,-,-,-,-,-,-,"$23,487"
558,Project Itoh - Harmony,-,-,-,-,-,-,-,"$23,248"
559,Goat,0.78,73,0.44,3989,96,Drama,Killer Films,"$23,020"
560,The Black Dove,-,-,-,9,115,Drama,The Black Dove LLC,"$22,517"
561,Kamikaze '89,-,-,-,-,-,-,-,"$22,440"
562,Be Here Now: The Andy Whitfield Story,1.0,6,0.93,176,100,"Documentary, Drama",Be Here Now Productions,"$22,424"
563,Generation Startup,0.71,7,0.81,80,93,Documentary,Creative Breed,"$22,271"
564,Reparation,-,-,0.79,57,105,"Drama, Mystery & Suspense",Red Dirt Pictures,"$22,267"
565,Sanam Teri Kasam,-,-,0.75,518,-,"Art House & International, Romance",-,"$22,121"
566,Blue Jay,0.9,30,0.76,2297,85,Drama,Duplass Brothers,"$21,626"
567,Thank You for Your Service,-,-,0.7,100,90,Documentary,CreativeChaos,"$21,497"
568,Term Life,0.0,7,0.3,1452,93,"Action & Adventure, Mystery & Suspense",Focus World,"$21,256"
569,Already Tomorrow in Hong Kong,0.76,21,0.58,640,78,"Comedy, Romance",Unbound Feet Productions,"$21,206"
570,Almost Holy,0.98,43,0.82,499,100,Documentary,-,"$21,142"
571,Time Changer ,-,-,-,-,-,-,-,"$20,797"
572,Hunter Gatherer,0.95,21,0.59,308,85,Drama,Mama Bear Studios,"$20,641"
573,Band of Robbers,0.77,26,0.61,1835,95,"Action & Adventure, Comedy",Whitewater Films,"$20,555"
574,This Last Lonely Place,-,-,-,12,85,,-,"$20,507"
575,The Sea of Trees,0.13,47,0.41,2218,110,Drama,Waypoint Entertainment,"$20,444"
